,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15
51,Vinp,61.16452,116.0558,175.2428,237.2938,287.8989,311.7972,330.6306,329.2048,327.7791,317.7989,307.8187,269.3778,223.8218,152.629,70.44898
52,Vdp,49.7441,96.00848,150.3281,209.3597,257.5501,280.3069,298.2384,296.7284,295.5265,286.0227,276.519,239.9124,196.5321,129.0492,57.41932
53,Vdc,49.73341,95.98553,150.2806,209.2708,257.4177,280.151,298.0627,296.5559,295.3538,285.8606,276.3671,239.7968,196.4533,129.0131,57.40682
54,Vfp,8.514085,14.53403,16.59619,16.6824,16.70986,16.7254,16.74067,16.89122,16.73531,16.72873,16.72217,16.69973,16.6743,16.33212,9.682246
55,Vfc,8.512254,14.53056,16.59095,16.67531,16.70126,16.71609,16.73081,16.8814,16.72553,16.71925,16.71299,16.69169,16.66761,16.32756,9.680137
56,Vsfd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,VsATP,1.488145,1.678621,2.134616,2.1611,2.160771,2.160631,2.16055,2.160379,2.160556,2.160589,2.160638,2.160907,2.160938,2.022758,1.504934
58,VgPQH2,337.6524,721.9477,784.3201,819.3939,1305.098,686.0682,413.4372,150.5255,937.9165,940.6157,1088.145,1225.792,1023.257,781.9336,358.0883
59,Vbf12,1.071835e-07,9.005353e-08,2.923027e-08,-5.932362e-09,2.936627e-09,-5.836442e-08,1.018611e-07,-7.685277e-08,2.709968e-07,-2.021176e-11,-1.783545e-11,2.19043e-06,4.530362e-08,1.663535e-07,8.405811e-07
60,Vbf13,2.89827e-08,2.494249e-08,8.793036e-09,-2.054169e-09,1.119415e-09,-1.930211e-08,4.351752e-08,-3.341772e-08,1.066181e-07,-8.405053e-12,-6.52734e-12,8.104623e-07,1.526627e-08,4.757528e-08,2.275499e-07
61,Vbf14,-1.139749e-08,-9.081424e-09,-3.335488e-09,5.769008e-10,-2.434624e-10,4.765039e-09,-1.022615e-08,7.683052e-09,-2.048101e-08,2.019701e-12,8.067828e-13,-2.124777e-07,-4.734592e-09,-1.558769e-08,-8.560339e-08
62,Vbf15,112.3585,191.2607,217.9011,218.7876,218.8737,218.879,218.8704,218.9384,218.8703,218.8795,218.8826,218.8577,218.747,214.552,127.7221
63,Vbf16,112.3585,191.2607,217.9011,218.7876,218.8737,218.879,218.8704,218.9383,218.8703,218.8795,218.8826,218.8577,218.747,214.552,127.7221
64,vbfn2,43.39979,73.19958,82.68671,83.19964,83.41097,83.49491,83.55816,83.58086,83.55101,83.51848,83.48379,83.33899,83.13698,81.51734,49.25348
65,VsNADPH,0.6264795,0.7402248,0.7963575,0.7669812,0.7070209,0.7579395,0.837328,1.258445,0.7180823,0.7212941,0.7125441,0.7185519,0.7516785,0.7934075,0.6640465
66,vA_d,21.04802,47.74607,99.72169,164.0777,214.593,243.2079,266.6026,274.4818,258.0973,247.6252,236.3391,195.6926,149.1602,77.31106,24.90243
67,vA_f,0.7205062,1.445587,2.201851,2.61484,2.78456,2.902354,2.992979,3.124968,2.923149,2.896591,2.858467,2.72434,2.531028,1.956857,0.8398269
68,vA_U,5718.303,11472.91,17475.01,20752.7,22099.68,23034.55,23753.8,24801.33,23199.59,22988.82,22686.25,21621.75,20087.53,15530.61,6665.293
