,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15
61,Vbf14,1.925692e-09,-1.197544e-07,-1.763445e-09,-1.066431e-08,5.947353e-09,1.732494e-11,-4.619551e-10,5.657865e-10,4.521068e-13,-7.131401e-09,-3.607619e-08,-1.89685e-09,2.801562e-12,5.216127e-09,-3.441878e-10
62,Vbf15,100.1587,174.5206,190.7124,191.3245,191.5571,192.2389,191.5294,191.5383,191.5023,191.4929,191.4841,191.361,191.1883,190.3874,115.6083
63,Vbf16,100.1587,174.5211,190.7124,191.3245,191.5571,192.2389,191.5294,191.5383,191.5023,191.4929,191.4841,191.361,191.1883,190.3874,115.6083
64,vbfn2,38.17446,65.95824,71.8267,72.31471,72.5842,73.01916,72.59012,72.56132,72.51177,72.50082,72.48561,72.35329,72.18608,71.65343,43.98727
65,VsNADPH,0.493289,0.7487591,0.6877537,0.5814735,0.55873,0.5718886,0.5745743,0.5855829,0.5748262,0.6604649,0.5409685,0.5809701,0.6219137,0.6011806,0.5433091
66,vA_d,20.09379,50.3006,113.8585,189.0781,243.8643,247.6642,249.2835,239.9813,229.1423,230.6879,219.8622,197.1262,167.0022,93.62316,24.55501
67,vA_f,0.6731662,1.460987,2.155695,2.458141,2.594591,2.622224,2.61703,2.602892,2.569889,2.613947,2.51656,2.483623,2.400101,1.975355,0.8076704
68,vA_U,5342.589,11595.13,17108.69,19509.06,20591.99,20811.3,20770.08,20657.87,20395.94,20745.61,19972.7,19711.3,19048.42,15677.42,6410.083
69,vU_A,5268.309,11459.03,16923.34,19271.94,20319.39,20538.2,20496.31,20390.88,20134.17,20490.2,19711.12,19469.29,18827.94,15500.46,6323.955
70,vU_f,0.6638069,1.443838,2.132341,2.428264,2.560244,2.587814,2.582536,2.569251,2.536905,2.581765,2.483601,2.453131,2.37232,1.953058,0.7968183
