,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14
64,vbfn2,21.23446,42.35762,74.81831,78.70902,78.91417,79.06496,79.11125,79.15019,79.11997,79.05944,78.85213,78.15828,63.26717,26.24477
65,VsNADPH,0.6341602,0.9010973,1.046895,0.8965373,0.8950879,0.8890135,0.8898576,0.8632556,0.874857,0.8823021,0.9686008,0.913844,0.8172516,0.7466843
66,vA_d,10.21606,23.62759,64.56657,128.0871,183.5386,239.0874,258.903,273.7541,261.3443,236.4597,165.6505,91.30763,38.57083,13.39643
67,vA_f,0.3657143,0.8095315,1.809989,2.428883,2.709191,2.891905,2.944934,2.967036,2.943487,2.88115,2.659286,2.139205,1.247087,0.4755371
68,vA_U,2902.494,6424.853,14364.99,19276.85,21501.52,22951.63,23372.49,23547.91,23361.01,22866.27,21105.45,16977.82,9897.515,3774.104
69,vU_A,2862.03,6343.314,14205.29,19067.2,21257.6,22673.43,23082.38,23246.17,23068.04,22589.1,20876.23,16792.72,9770.066,3724.399
70,vU_f,0.3606158,0.7992575,1.789866,2.402467,2.678457,2.856853,2.908379,2.929018,2.906573,2.846227,2.630405,2.115883,1.231028,0.4692743
71,vU_d,8.733452,19.12369,57.29139,121.8474,174.4546,227.1931,245.7682,261.7815,249.1693,225.1781,154.1416,86.07151,35.65493,10.61062
72,v1,171.0528,268.5586,747.7104,1862.014,1852.66,1877.745,1848.225,2236.152,2052.887,1972.837,1266.44,1541.414,954.9364,155.2014
73,v_r1,128.5839,183.8433,598.0738,1704.596,1694.831,1719.615,1690.002,2077.852,1894.647,1814.718,1108.735,1385.098,828.402,102.7119
74,vS1_S2,10.61723,21.17881,37.40916,39.35452,39.45708,39.53248,39.55563,39.5751,39.55999,39.52972,39.42608,39.07914,31.63359,13.12238
75,vS2_S3,10.61723,21.17881,37.40916,39.35452,39.45708,39.53248,39.55563,39.5751,39.55999,39.52972,39.42608,39.07914,31.63359,13.12238
76,vS3_S0,10.61723,21.17881,37.40916,39.35452,39.45708,39.53248,39.55563,39.5751,39.55999,39.52972,39.42608,39.07914,31.63359,13.12238
77,vS0_S1,10.61723,21.17881,37.40916,39.35452,39.45708,39.53248,39.55563,39.5751,39.55999,39.52972,39.42608,39.07914,31.63359,13.12238
78,vz_1,0.7633501,1.100175,3.237711,8.774458,8.723734,8.84647,8.697813,10.63891,9.722158,9.322631,5.789325,7.177923,4.430812,0.6358169
79,v1z_1,0.1908375,0.2750437,0.8094277,2.193615,2.180933,2.211617,2.174453,2.659727,2.43054,2.330658,1.447331,1.794481,1.107703,0.1589542
80,v2z_1,0.1908375,0.2750437,0.8094277,2.193615,2.180933,2.211617,2.174453,2.659727,2.43054,2.330658,1.447331,1.794481,1.107703,0.1589542
81,v3z_1,0.1908375,0.2750437,0.8094277,2.193615,2.180933,2.211617,2.174453,2.659727,2.43054,2.330658,1.447331,1.794481,1.107703,0.1589542
82,v0z_1,0.1908375,0.2750437,0.8094277,2.193615,2.180933,2.211617,2.174453,2.659727,2.43054,2.330658,1.447331,1.794481,1.107703,0.1589542
83,vz_2,41.70557,83.61506,146.3989,148.6436,149.1046,149.2835,149.5247,147.6615,148.5178,148.7962,151.915,149.1387,122.1035,51.85372
84,v1z_2,10.42639,20.90377,36.59973,37.1609,37.27615,37.32086,37.38117,36.91537,37.12945,37.19906,37.97874,37.28466,30.52588,12.96343
