,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15
16,v121,5.181155,8.91336,9.546988,9.60206,9.632312,9.633649,9.634154,9.629082,9.624103,9.62267,9.619493,9.606528,9.587363,9.528118,5.986106
17,v122,2.590578,4.45668,4.773494,4.80103,4.816156,4.816824,4.817077,4.814541,4.812052,4.811335,4.809746,4.803264,4.793682,4.764059,2.993054
18,v123,2.590578,4.45668,4.773494,4.80103,4.816156,4.816824,4.817077,4.814541,4.812052,4.811335,4.809746,4.803264,4.793682,4.764059,2.993054
19,v124,2.590577,4.45668,4.773494,4.80103,4.816156,4.816824,4.817077,4.814541,4.812052,4.811335,4.809746,4.803264,4.793682,4.764059,2.993052
20,v131,2.590577,4.45668,4.773494,4.80103,4.816156,4.816824,4.817077,4.814541,4.812052,4.811335,4.809746,4.803264,4.793682,4.764059,2.993053
21,vlin,2.590578,4.45668,4.773494,4.80103,4.816156,4.816824,4.817077,4.814541,4.812052,4.811335,4.809746,4.803264,4.793682,4.764059,2.993054
22,v2out,5.181155,8.91336,9.546988,9.60206,9.632312,9.633649,9.634154,9.629082,9.624103,9.62267,9.619493,9.606528,9.587363,9.528118,5.986106
23,v51,1.808175,2.648698,2.401231,2.414769,2.422917,2.423278,2.423414,2.422046,2.420705,2.420319,2.41946,2.415971,2.410824,2.401495,2.060923
24,v52,1.808177,2.648698,2.401231,2.414769,2.422917,2.423278,2.423414,2.422046,2.420705,2.420319,2.41946,2.415971,2.410824,2.401495,2.060926
25,v55,0.9040812,1.324349,1.200616,1.207384,1.211459,1.211639,1.211707,1.211023,1.210352,1.210159,1.20973,1.207985,1.205412,1.200748,1.03045
26,v56,0.9040879,1.324349,1.200616,1.207384,1.211459,1.211639,1.211707,1.211023,1.210352,1.210159,1.20973,1.207986,1.205412,1.200748,1.030461
27,v57,0.904087,1.324349,1.200616,1.207384,1.211459,1.211639,1.211707,1.211023,1.210352,1.210159,1.20973,1.207986,1.205412,1.200748,1.030461
28,v58,0.06854444,0.06411306,0.06528154,0.06521493,0.06517499,0.06517322,0.06517256,0.06517925,0.06518582,0.06518771,0.06519192,0.06520903,0.06523431,0.06528025,0.06706639
29,v59,0.06854549,0.06411305,0.06528155,0.06521493,0.06517499,0.06517322,0.06517256,0.06517925,0.06518582,0.06518771,0.06519192,0.06520903,0.06523431,0.06528024,0.06706743
30,v60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,v62,0.9040874,1.324349,1.200616,1.207384,1.211459,1.211639,1.211707,1.211023,1.210352,1.210159,1.20973,1.207986,1.205412,1.200748,1.030462
32,vdhap_in,20.76168,19.01992,19.50442,19.47753,19.46137,19.46066,19.46039,19.4631,19.46576,19.46652,19.46822,19.47515,19.48536,19.50389,20.20283
33,vgap_in,20.76168,19.01992,19.50442,19.47753,19.46137,19.46066,19.46039,19.4631,19.46576,19.46652,19.46822,19.47515,19.48536,19.50389,20.20283
34,vpga_in,20.76168,19.01992,19.50442,19.47753,19.46137,19.46066,19.46039,19.4631,19.46576,19.46652,19.46822,19.47515,19.48536,19.50389,20.20283
