,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13
102,Ia,51.22506,90.52982,116.6256,142.3992,245.1715,338.2787,349.8768,361.4749,343.4334,256.1253,168.8172,97.61757,63.14536
103,v2_1,39.79713,72.01324,89.58062,105.9397,136.9056,132.865,139.4452,140.4554,138.7818,136.9386,122.2372,76.65632,51.43467
104,v2_2,201.0721,4588.044,1768.001,1885.99,1891.169,1099.802,2939.923,3859.159,2513.043,1820.999,5889.167,1767.248,1357.461
105,v2_00_1,2.950761,0.6420885,2.022054,2.601582,4.138941,6.432337,2.856975,2.266894,3.264546,4.281375,1.282296,1.521829,0.9214275
106,v2_01_1,5.757149,2.501993,4.225527,5.327728,8.235116,12.6749,5.921377,4.950721,6.635958,8.501246,3.828687,3.309099,2.109367
107,v2_02_1,31.08922,68.86916,83.33304,98.01038,124.5316,113.7578,130.6669,133.2378,128.8813,124.156,117.1262,71.8254,48.40388
108,v2_00_2,14.9085,40.90817,39.90813,46.31464,57.17396,53.24427,60.23358,62.28529,59.11399,56.9334,61.7787,35.08452,24.31826
109,v2_01_2,29.08758,159.4048,83.3968,94.84682,113.7572,104.9177,124.8404,136.0263,120.1631,113.0489,184.4592,76.28855,55.67029
110,v2_02_2,157.076,4387.731,1644.696,1744.829,1720.238,941.6405,2754.849,3660.847,2333.766,1651.016,5642.929,1655.875,1277.472
111,vr2_00_1,0.0001409743,0.0004977096,0.00071001,0.001003578,0.001726912,0.001685918,0.001784747,0.001807043,0.001772425,0.00173155,0.001389368,0.0005166443,0.0002300604
112,vr2_01_1,0.0001094037,0.00189163,0.0007935813,0.001040592,0.001521796,0.001329535,0.001796505,0.002122295,0.001667976,0.001503269,0.003342051,0.0006523374,0.0003360843
113,vr2_02_1,0.001367918,0.06671517,0.03201802,0.04070749,0.05333261,0.02872623,0.08620753,0.114845,0.07291157,0.05125797,0.1509085,0.02726267,0.01385016
114,vr2_1,0.001618296,0.06910451,0.03352162,0.04275166,0.05658131,0.03174168,0.08978879,0.1187744,0.07635197,0.05449279,0.1556399,0.02843166,0.01441631
115,vr2_00_2,17.24326,33.03913,37.40329,44.20776,57.54585,57.82233,58.34376,58.65517,58.21391,57.67022,52.5576,32.08545,21.64867
116,vr2_01_2,13.38171,125.5708,41.80582,45.83822,50.71079,45.59938,58.72815,68.88801,54.78336,50.0672,126.4245,40.51247,31.62551
117,vr2_02_2,167.3169,4428.71,1686.708,1793.17,1777.202,985.2302,2818.143,3727.779,2394.724,1707.175,5708.629,1693.109,1303.299
118,vr2_2,197.9418,4587.32,1765.917,1883.216,1885.458,1088.652,2935.215,3855.322,2507.721,1814.913,5887.611,1765.707,1356.574
119,vP680qU,0.4567809,0.05973975,0.2595764,0.3747428,1.197348,3.675726,1.38081,1.102999,1.574905,1.350941,0.1821234,0.1770001,0.09092215
120,vP680qA,0.4641749,0.06050195,0.2631139,0.3797097,1.210983,3.718686,1.396266,1.115227,1.592623,1.366228,0.1842918,0.1794484,0.09223216
121,vU_P680,43.38259,72.72777,91.89099,109.0453,143.7573,147.6595,145.4444,145.2767,145.6029,144.3138,123.9066,78.34605,52.39854
