,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13
41,Vbf6,34.80373,59.0627,72.4595,84.64545,132.4439,136.0022,135.6137,135.612,135.6079,131.7418,108.175,68.20855,45.32192
42,Vbf7,34.80373,59.0627,72.4595,84.64195,132.4439,136.0022,135.6137,135.612,135.6079,131.7417,108.175,68.20855,45.32192
43,Vbf8,57.05252,96.34729,118.0319,137.7304,213.665,219.7629,218.7229,218.7284,218.6377,214.7192,175.5334,111.1471,74.09344
44,Vbf9,57.05252,96.34741,118.0319,137.7301,213.6649,219.7629,218.7229,218.7284,218.641,214.7201,175.5334,111.1471,74.09344
45,Vbf10,57.05252,96.34784,118.0319,137.731,213.6646,219.7629,218.7231,218.7284,218.6431,214.7204,175.5334,111.1472,74.09339
46,Vbf11,34.03489,57.35275,70.21642,81.89713,126.5605,130.2677,129.5416,129.5472,129.471,127.7668,104.2454,66.13122,44.14805
47,Vqi,69.60747,118.1254,144.919,169.2808,264.8878,272.0044,271.2275,271.224,271.2158,263.4835,216.3499,136.4171,90.64384
48,Vipc,6854.196,11584.2,14199.79,16579.54,25824.79,26589.72,26462.59,26463.59,26446.54,25943.06,21156.46,13368.51,8904.262
49,Vicp,6852.772,11581.74,14196.7,16575.84,25817.61,26579.41,26452.23,26453.19,26436.83,25935.76,21151.58,13365.63,8902.4
50,Vinc,27.10311,46.9583,58.69786,70.43745,136.8453,196.6998,197.5748,198.4498,185.2198,139.0782,92.9366,54.82859,35.4657
51,Vinp,29.95607,51.90128,64.87659,77.85192,151.2501,217.4051,218.3722,219.3393,204.7167,153.718,102.7194,60.60002,39.19893
52,Vdp,24.21441,42.137,52.84807,63.70785,127.7981,190.3411,191.3428,192.2636,178.3427,130.0746,84.51071,49.29836,31.72653
53,Vdc,24.20938,42.12803,52.8366,63.69363,127.7625,190.2673,191.2679,192.188,178.2773,130.038,84.49122,49.28774,31.7199
54,Vfp,4.318143,7.298049,8.945865,10.44511,16.26962,16.75153,16.67143,16.67206,16.66132,16.34413,13.32857,8.422159,5.609685
55,Vfc,4.317247,7.296495,8.943923,10.44278,16.2651,16.74503,16.66491,16.66551,16.6552,16.33953,13.32549,8.420345,5.608512
56,Vsfd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,VsATP,1.417858,1.470912,1.49417,1.516977,1.99785,2.156847,2.160736,2.160789,2.159391,2.029115,1.59713,1.486848,1.443945
58,VgPQH2,69.47157,264.1074,148.2269,170.8736,317.817,858.018,763.5328,787.8738,667.3783,746.4106,684.2181,229.1731,366.0332
59,Vbf12,1.972823e-11,1.237893e-07,-1.369504e-10,1.088825e-07,5.495424e-08,1.415574e-07,-3.675102e-07,-5.165754e-13,1.031316e-08,1.329169e-07,-3.057328e-10,-2.344572e-09,-2.742685e-09
